iter	Passed	Remaining
952	24308	1198
953	24332	1173
954	24359	1147
955	24388	1122
956	24415	1097
957	24444	1071
958	24471	1046
959	24498	1020
960	24521	995
961	24549	969
962	24574	944
963	24602	918
964	24627	893
965	24657	867
966	24687	842
967	24714	817
968	24739	791
969	24768	766
970	24795	740
971	24822	715
972	24849	689
973	24876	664
974	24899	638
975	24927	612
976	24953	587
977	24982	561
978	25008	536
979	25034	510
980	25061	485
981	25086	459
982	25107	434
983	25126	408
984	25154	383
985	25184	357
986	25213	332
987	25241	306
988	25267	281
989	25293	255
990	25319	229
991	25347	204
992	25373	178
993	25399	153
994	25426	127
995	25453	102
996	25478	76
997	25504	51
998	25531	25
999	25554	0
